#,Address,Source,Scoreboard Dependencies,Live Registers,Warp Stall Sampling (All Samples),Instruction Category,Instructions Executed,Avg. Predicated-On Threads Executed,Address Space,Access Operation,Access Size,L1 Wavefronts Shared Excessive,L2 Theoretical Sectors Global Excessive,Register Dependencies,Predicate Dependencies,Uniform Register Dependencies,Uniform Predicate Dependencies
,,matrixMulRegister
228,0000000b 00e73130,"      FADD R45, R4, R45",0,44,2,Floating Point,32768,32,,,,,,,,,
229,0000000b 00e73140,"      FADD R4, R27, R30",0,44,1,Floating Point,32768,32,,,,,,,,,
230,0000000b 00e73150,"      FADD R4, R21, R4",0,43,49,Floating Point,32768,32,,,,,,,,,
231,0000000b 00e73160,"      FADD R30, R27, R12",0,43,41,Floating Point,32768,32,,,,,,,,,
232,0000000b 00e73170,"      FADD R21, R8, R12",0,43,2,Floating Point,32768,32,,,,,,,,,
233,0000000b 00e73180,"      FADD R8, R12, R9",0,43,1,Floating Point,32768,32,,,,,,,,,
234,0000000b 00e73190,"      FADD R19, R19, R30",0,42,6,Floating Point,32768,32,,,,,,,,,
235,0000000b 00e731a0,"      FADD R44, R32, R13",0,42,74,Floating Point,32768,32,,,,,,,,,
236,0000000b 00e731b0,"      FADD R9, R12, R10",0,43,2,Floating Point,32768,32,,,,,,,,,
237,0000000b 00e731c0,"      FADD R8, R23, R8",0,41,1,Floating Point,32768,32,,,,,,,,,
238,0000000b 00e731d0,"      FADD R44, R19, R44",0,40,10,Floating Point,32768,32,,,,,,,,,
239,0000000b 00e731e0,"      FADD R19, R34, R13",0,40,1,Floating Point,32768,32,,,,,,,,,
240,0000000b 00e731f0,"      FADD R18, R18, R21",0,40,3,Floating Point,32768,32,,,,,,,,,
241,0000000b 00e73200,"      FADD R9, R22, R9",0,39,,Floating Point,32768,32,,,,,,,,,
242,0000000b 00e73210,"      FADD R21, R33, R13",0,39,4,Floating Point,32768,32,,,,,,,,,
243,0000000b 00e73220,"      FADD R30, R8, R19",0,40,5,Floating Point,32768,32,,,,,,,,,
244,0000000b 00e73230,"      FADD R10, R35, R13",0,39,3,Floating Point,32768,32,,,,,,,,,
245,0000000b 00e73240,"      FADD R12, R32, R6",0,39,2,Floating Point,32768,32,,,,,,,,,
246,0000000b 00e73250,"      FADD R22, R33, R6",0,40,1,Floating Point,32768,32,,,,,,,,,
247,0000000b 00e73260,"      FADD R8, R34, R6",0,41,2,Floating Point,32768,32,,,,,,,,,
248,0000000b 00e73270,"      FADD R6, R35, R6",0,41,4,Floating Point,32768,32,,,,,,,,,
249,0000000b 00e73280,"      FADD R42, R18, R21",0,42,5,Floating Point,32768,32,,,,,,,,,
250,0000000b 00e73290,"      FADD R21, R9, R10",0,41,1,Floating Point,32768,32,,,,,,,,,
251,0000000b 00e732a0,"      FADD R27, R17, R8",0,40,,Floating Point,32768,32,,,,,,,,,
252,0000000b 00e732b0,"      FADD R19, R32, R31",0,39,1,Floating Point,32768,32,,,,,,,,,
253,0000000b 00e732c0,"      FADD R13, R11, R6",0,40,4,Floating Point,32768,32,,,,,,,,,
254,0000000b 00e732d0,"      FADD R17, R33, R31",0,39,3,Floating Point,32768,32,,,,,,,,,
255,0000000b 00e732e0,"      LDS.128 R8, [R37+0x10]",0,43,1,Load/Store,32768,32,Shared,Load,128,,,,,,
256,0000000b 00e732f0,"      FADD R4, R4, R19",0,43,1,Floating Point,32768,32,,,,,,,,,
257,0000000b 00e73300,"      FADD R6, R16, R17",0,43,44,Floating Point,32768,32,,,,,,,,,
258,0000000b 00e73310,"      LDS.128 R16, [R0.X16+0x1310]",0,45,9,Load/Store,32768,32,Shared,Load,128,,,,,,
259,0000000b 00e73320,"      FADD R23, R45, R12",0,45,3,Floating Point,32768,32,,,,,,,,,
260,0000000b 00e73330,"      FADD R12, R34, R31",0,44,2,Floating Point,32768,32,,,,,,,,,
261,0000000b 00e73340,"      FADD R5, R5, R12",0,44,36,Floating Point,32768,32,,,,,,,,,
262,0000000b 00e73350,"      LDS R12, [R0.X16+0x1320]",0,44,20,Load/Store,32768,32,Shared,Load,32,,,,,,
263,0000000b 00e73360,"      FADD R46, R35, R31",0,45,1,Floating Point,32768,32,,,,,,,,,
264,0000000b 00e73370,"      FADD R22, R43, R22",0,44,2,Floating Point,32768,32,,,,,,,,,
265,0000000b 00e73380,"      FADD R31, R32, R8",0,44,35,Floating Point,32768,32,,,,,,,,,
266,0000000b 00e73390,"      FADD R32, R8, R33",0,44,3,Floating Point,32768,32,,,,,,,,,
267,0000000b 00e733a0,"      FADD R33, R8, R34",0,44,1,Floating Point,32768,32,,,,,,,,,
268,0000000b 00e733b0,"      FADD R35, R8, R35",0,43,2,Floating Point,32768,32,,,,,,,,,
269,0000000b 00e733c0,"      FADD R40, R40, R31",0,42,1,Floating Point,32768,32,,,,,,,,,
270,0000000b 00e733d0,"      FADD R29, R29, R32",0,41,,Floating Point,32768,32,,,,,,,,,
271,0000000b 00e733e0,"      FADD R31, R17, R9",0,41,54,Floating Point,32768,32,,,,,,,,,
272,0000000b 00e733f0,"      FADD R8, R9, R18",0,42,2,Floating Point,32768,32,,,,,,,,,
273,0000000b 00e73400,"      FADD R28, R28, R33",0,42,3,Floating Point,32768,32,,,,,,,,,
274,0000000b 00e73410,"      FADD R40, R40, R31",0,41,26,Floating Point,32768,32,,,,,,,,,
275,0000000b 00e73420,"      FADD R45, R29, R8",0,41,2,Floating Point,32768,32,,,,,,,,,
276,0000000b 00e73430,"      FADD R29, R17, R14",0,40,2,Floating Point,32768,32,,,,,,,,,
277,0000000b 00e73440,"      FADD R31, R18, R14",0,41,4,Floating Point,32768,32,,,,,,,,,
278,0000000b 00e73450,"      FADD R43, R9, R19",0,42,4,Floating Point,32768,32,,,,,,,,,
279,0000000b 00e73460,"      FADD R33, R19, R14",0,43,1,Floating Point,32768,32,,,,,,,,,
280,0000000b 00e73470,"      FADD R35, R26, R35",0,43,3,Floating Point,32768,32,,,,,,,,,
281,0000000b 00e73480,"      FADD R8, R12, R9",0,43,26,Floating Point,32768,32,,,,,,,,,
282,0000000b 00e73490,"      FADD R43, R28, R43",0,42,2,Floating Point,32768,32,,,,,,,,,
283,0000000b 00e734a0,"      FADD R44, R44, R29",0,41,2,Floating Point,32768,32,,,,,,,,,
284,0000000b 00e734b0,"      FADD R42, R42, R31",0,40,3,Floating Point,32768,32,,,,,,,,,
285,0000000b 00e734c0,"      FADD R26, R30, R33",0,40,1,Floating Point,32768,32,,,,,,,,,
286,0000000b 00e734d0,"      FADD R34, R17, R7",0,39,2,Floating Point,32768,32,,,,,,,,,
287,0000000b 00e734e0,"      LDS.128 R28, [R37+0x1a0]",0,43,1,Load/Store,32768,32,Shared,Load,128,,,,,,
288,0000000b 00e734f0,"      FADD R35, R35, R8",0,43,6,Floating Point,32768,32,,,,,,,,,
289,0000000b 00e73500,"      FADD R34, R23, R34",0,42,35,Floating Point,32768,32,,,,,,,,,
290,0000000b 00e73510,"      FADD R23, R18, R7",0,42,1,Floating Point,32768,32,,,,,,,,,
291,0000000b 00e73520,"      LDS.64 R8, [R0.X16+0x1398]",0,44,5,Load/Store,32768,32,Shared,Load,64,,,,,,
292,0000000b 00e73530,"      FADD R16, R22, R23",0,45,10,Floating Point,32768,32,,,,,,,,,
293,0000000b 00e73540,"      LDS.64 R22, [R0.X16+0x13a0]",0,45,8,Load/Store,32768,32,Shared,Load,64,,,,,,
294,0000000b 00e73550,"      FADD R14, R12, R14",0,45,1,Floating Point,32768,32,,,,,,,,,
295,0000000b 00e73560,"      FADD R21, R21, R14",0,45,51,Floating Point,32768,32,,,,,,,,,
296,0000000b 00e73570,"      FADD R14, R19, R7",0,45,2,Floating Point,32768,32,,,,,,,,,
297,0000000b 00e73580,"      FADD R27, R27, R14",0,45,49,Floating Point,32768,32,,,,,,,,,
298,0000000b 00e73590,"      FADD R14, R12, R7",0,45,3,Floating Point,32768,32,,,,,,,,,
299,0000000b 00e735a0,"      FADD R41, R41, R46",0,44,4,Floating Point,32768,32,,,,,,,,,
300,0000000b 00e735b0,"      FADD R33, R13, R14",0,44,28,Floating Point,32768,32,,,,,,,,,
301,0000000b 00e735c0,"      FADD R32, R28, R19",0,43,11,Floating Point,32768,32,,,,,,,,,
302,0000000b 00e735d0,"      FADD R17, R17, R28",0,42,,Floating Point,32768,32,,,,,,,,,
303,0000000b 00e735e0,"      FADD R7, R28, R18",0,43,,Floating Point,32768,32,,,,,,,,,
304,0000000b 00e735f0,"      FADD R32, R5, R32",0,42,7,Floating Point,32768,32,,,,,,,,,
305,0000000b 00e73600,"      FADD R4, R4, R17",0,41,,Floating Point,32768,32,,,,,,,,,
306,0000000b 00e73610,"      FADD R5, R8, R15",0,41,7,Floating Point,32768,32,,,,,,,,,
307,0000000b 00e73620,"      FADD R19, R8, R29",0,42,6,Floating Point,32768,32,,,,,,,,,
308,0000000b 00e73630,"      FADD R28, R12, R28",0,42,3,Floating Point,32768,32,,,,,,,,,
309,0000000b 00e73640,"      FADD R12, R6, R7",0,42,3,Floating Point,32768,32,,,,,,,,,
310,0000000b 00e73650,"      FADD R18, R44, R5",0,41,1,Floating Point,32768,32,,,,,,,,,
311,0000000b 00e73660,"      FADD R19, R4, R19",0,39,3,Floating Point,32768,32,,,,,,,,,
312,0000000b 00e73670,"      FADD R7, R8, R10",0,39,,Floating Point,32768,32,,,,,,,,,
313,0000000b 00e73680,"      FADD R4, R22, R10",0,40,11,Floating Point,32768,32,,,,,,,,,
314,0000000b 00e73690,"      FADD R5, R22, R15",0,41,1,Floating Point,32768,32,,,,,,,,,
315,0000000b 00e736a0,"      FADD R41, R41, R28",0,41,2,Floating Point,32768,32,,,,,,,,,
316,0000000b 00e736b0,"      FADD R28, R10, R9",0,41,3,Floating Point,32768,32,,,,,,,,,
317,0000000b 00e736c0,"      FADD R17, R9, R15",0,42,3,Floating Point,32768,32,,,,,,,,,
318,0000000b 00e736d0,"      FADD R14, R23, R15",0,43,1,Floating Point,32768,32,,,,,,,,,
319,0000000b 00e736e0,"      FADD R40, R40, R7",0,42,2,Floating Point,32768,32,,,,,,,,,
320,0000000b 00e736f0,"      FADD R10, R10, R23",0,41,2,Floating Point,32768,32,,,,,,,,,
321,0000000b 00e73700,"      FADD R43, R43, R4",0,41,8,Floating Point,32768,32,,,,,,,,,
322,0000000b 00e73710,"      FADD R26, R26, R5",0,40,,Floating Point,32768,32,,,,,,,,,
323,0000000b 00e73720,"      FADD R13, R9, R29",0,40,2,Floating Point,32768,32,,,,,,,,,
324,0000000b 00e73730,"      FADD R15, R22, R29",0,41,6,Floating Point,32768,32,,,,,,,,,
325,0000000b 00e73740,"      LDS.128 R4, [R37+0x120]",0,45,2,Load/Store,32768,32,Shared,Load,128,,,,,,
326,0000000b 00e73750,"      FADD R35, R35, R10",0,45,3,Floating Point,32768,32,,,,,,,,,
327,0000000b 00e73760,"      FADD R21, R21, R14",0,44,6,Floating Point,32768,32,,,,,,,,,
328,0000000b 00e73770,"      FADD R10, R12, R13",0,44,4,Floating Point,32768,32,,,,,,,,,
329,0000000b 00e73780,"      FADD R32, R32, R15",0,42,1,Floating Point,32768,32,,,,,,,,,
330,0000000b 00e73790,"      LDS.128 R12, [R0.X16+0x1420]",0,45,47,Load/Store,32768,32,Shared,Load,128,,,,,,
331,0000000b 00e737a0,"      FADD R17, R42, R17",0,44,1,Floating Point,32768,32,,,,,,,,,
332,0000000b 00e737b0,"      LDS R42, [R0.X16+0x141c]",0,44,26,Load/Store,32768,32,Shared,Load,32,,,,,,
333,0000000b 00e737c0,"      FADD R44, R23, R29",0,45,2,Floating Point,32768,32,,,,,,,,,
334,0000000b 00e737d0,"      FADD R28, R45, R28",0,44,2,Floating Point,32768,32,,,,,,,,,
335,0000000b 00e737e0,"      FADD R41, R41, R44",0,43,27,Floating Point,32768,32,,,,,,,,,
336,0000000b 00e737f0,"      FADD R29, R8, R4",0,43,29,Floating Point,32768,32,,,,,,,,,
337,0000000b 00e73800,"      FADD R22, R22, R4",0,42,3,Floating Point,32768,32,,,,,,,,,
338,0000000b 00e73810,"      FADD R8, R4, R23",0,43,7,Floating Point,32768,32,,,,,,,,,
339,0000000b 00e73820,"      FADD R9, R4, R9",0,42,2,Floating Point,32768,32,,,,,,,,,
340,0000000b 00e73830,"      FADD R4, R34, R29",0,42,3,Floating Point,32768,32,,,,,,,,,
341,0000000b 00e73840,"      FADD R27, R27, R22",0,40,2,Floating Point,32768,32,,,,,,,,,
342,0000000b 00e73850,"      FADD R33, R33, R8",0,39,4,Floating Point,32768,32,,,,,,,,,
343,0000000b 00e73860,"      FADD R29, R12, R11",0,39,44,Floating Point,32768,32,,,,,,,,,
344,0000000b 00e73870,"      FADD R16, R16, R9",0,39,2,Floating Point,32768,32,,,,,,,,,
345,0000000b 00e73880,"      FADD R8, R11, R13",0,39,1,Floating Point,32768,32,,,,,,,,,
346,0000000b 00e73890,"      FADD R22, R11, R14",0,40,2,Floating Point,32768,32,,,,,,,,,
347,0000000b 00e738a0,"      FADD R9, R12, R5",0,41,1,Floating Point,32768,32,,,,,,,,,
348,0000000b 00e738b0,"      FADD R29, R28, R29",0,41,2,Floating Point,32768,32,,,,,,,,,
349,0000000b 00e738c0,"      FADD R28, R43, R8",0,41,3,Floating Point,32768,32,,,,,,,,,
350,0000000b 00e738d0,"      FADD R23, R35, R22",0,40,1,Floating Point,32768,32,,,,,,,,,
351,0000000b 00e738e0,"      FADD R22, R16, R9",0,39,1,Floating Point,32768,32,,,,,,,,,
352,0000000b 00e738f0,"      FADD R8, R13, R5",0,38,2,Floating Point,32768,32,,,,,,,,,
353,0000000b 00e73900,"      FADD R16, R14, R5",0,39,2,Floating Point,32768,32,,,,,,,,,
354,0000000b 00e73910,"      FADD R9, R12, R30",0,40,5,Floating Point,32768,32,,,,,,,,,
355,0000000b 00e73920,"      FADD R11, R42, R11",0,40,18,Floating Point,32768,32,,,,,,,,,
356,0000000b 00e73930,"      FADD R15, R27, R8",0,41,1,Floating Point,32768,32,,,,,,,,,
357,0000000b 00e73940,"      FADD R27, R33, R16",0,40,2,Floating Point,32768,32,,,,,,,,,
358,0000000b 00e73950,"      FADD R16, R10, R9",0,39,3,Floating Point,32768,32,,,,,,,,,
359,0000000b 00e73960,"      FADD R40, R40, R11",0,37,1,Floating Point,32768,32,,,,,,,,,
360,0000000b 00e73970,"      FADD R43, R42, R5",0,37,4,Floating Point,32768,32,,,,,,,,,
361,0000000b 00e73980,"      FADD R34, R14, R30",0,37,6,Floating Point,32768,32,,,,,,,,,
362,0000000b 00e73990,"      FADD R5, R13, R30",0,38,3,Floating Point,32768,32,,,,,,,,,
363,0000000b 00e739a0,"      LDS.128 R8, [R37+0xa0]",0,42,5,Load/Store,32768,32,Shared,Load,128,,,,,,
364,0000000b 00e739b0,"      FADD R41, R41, R34",0,42,9,Floating Point,32768,32,,,,,,,,,
365,0000000b 00e739c0,"      FADD R5, R32, R5",0,41,3,Floating Point,32768,32,,,,,,,,,
366,0000000b 00e739d0,"      LDS.128 R32, [R0.X16+0x14a0]",0,44,38,Load/Store,32768,32,Shared,Load,128,,,,,,
367,0000000b 00e739e0,"      FADD R43, R4, R43",0,44,,Floating Point,32768,32,,,,,,,,,
368,0000000b 00e739f0,"      FADD R4, R42, R30",0,44,1,Floating Point,32768,32,,,,,,,,,
369,0000000b 00e73a00,"      FADD R4, R19, R4",0,43,29,Floating Point,32768,32,,,,,,,,,
370,0000000b 00e73a10,"      FADD R12, R12, R8",0,42,36,Floating Point,32768,32,,,,,,,,,
371,0000000b 00e73a20,"      FADD R19, R42, R8",0,43,1,Floating Point,32768,32,,,,,,,,,
372,0000000b 00e73a30,"      FADD R13, R8, R13",0,42,1,Floating Point,32768,32,,,,,,,,,
373,0000000b 00e73a40,"      FADD R12, R17, R12",0,42,3,Floating Point,32768,32,,,,,,,,,
374,0000000b 00e73a50,"      FADD R17, R33, R9",0,42,62,Floating Point,32768,32,,,,,,,,,
375,0000000b 00e73a60,"      FADD R8, R8, R14",0,42,1,Floating Point,32768,32,,,,,,,,,
376,0000000b 00e73a70,"      FADD R45, R32, R9",0,42,4,Floating Point,32768,32,,,,,,,,,
377,0000000b 00e73a80,"      FADD R42, R34, R9",0,43,4,Floating Point,32768,32,,,,,,,,,
378,0000000b 00e73a90,"      FADD R30, R12, R17",0,44,2,Floating Point,32768,32,,,,,,,,,
379,0000000b 00e73aa0,"      FADD R18, R18, R19",0,42,1,Floating Point,32768,32,,,,,,,,,
380,0000000b 00e73ab0,"      FADD R13, R26, R13",0,41,1,Floating Point,32768,32,,,,,,,,,
381,0000000b 00e73ac0,"      FADD R8, R21, R8",0,40,1,Floating Point,32768,32,,,,,,,,,
382,0000000b 00e73ad0,"      FADD R9, R35, R9",0,39,3,Floating Point,32768,32,,,,,,,,,
383,0000000b 00e73ae0,"      FADD R12, R32, R6",0,40,2,Floating Point,32768,32,,,,,,,,,
384,0000000b 00e73af0,"      FADD R17, R32, R31",0,41,2,Floating Point,32768,32,,,,,,,,,
385,0000000b 00e73b00,"      FADD R26, R34, R6",0,42,2,Floating Point,32768,32,,,,,,,,,
386,0000000b 00e73b10,"      FADD R45, R18, R45",0,42,2,Floating Point,32768,32,,,,,,,,,
387,0000000b 00e73b20,"      FADD R8, R8, R9",0,41,4,Floating Point,32768,32,,,,,,,,,
388,0000000b 00e73b30,"      FADD R21, R33, R6",0,41,1,Floating Point,32768,32,,,,,,,,,
389,0000000b 00e73b40,"      FADD R4, R4, R17",0,41,2,Floating Point,32768,32,,,,,,,,,
390,0000000b 00e73b50,"      FADD R42, R13, R42",0,40,1,Floating Point,32768,32,,,,,,,,,
391,0000000b 00e73b60,"      FADD R9, R43, R12",0,40,1,Floating Point,32768,32,,,,,,,,,
392,0000000b 00e73b70,"      FADD R6, R35, R6",0,38,4,Floating Point,32768,32,,,,,,,,,
393,0000000b 00e73b80,"      FADD R26, R15, R26",0,38,4,Floating Point,32768,32,,,,,,,,,
394,0000000b 00e73b90,"      FADD R17, R33, R31",0,38,1,Floating Point,32768,32,,,,,,,,,
395,0000000b 00e73ba0,"      FADD R18, R34, R31",0,39,,Floating Point,32768,32,,,,,,,,,
396,0000000b 00e73bb0,"      LDS.128 R12, [R37+0x20]",0,43,2,Load/Store,32768,32,Shared,Load,128,,,,,,
397,0000000b 00e73bc0,"      FADD R27, R27, R6",0,43,,Floating Point,32768,32,,,,,,,,,
398,0000000b 00e73bd0,"      FADD R6, R16, R17",0,43,3,Floating Point,32768,32,,,,,,,,,
399,0000000b 00e73be0,"      FADD R5, R5, R18",0,41,6,Floating Point,32768,32,,,,,,,,,
400,0000000b 00e73bf0,"      LDS.128 R16, [R0.X16+0x1520]",0,44,40,Load/Store,32768,32,Shared,Load,128,,,,,,
401,0000000b 00e73c00,"      FADD R21, R22, R21",0,43,3,Floating Point,32768,32,,,,,,,,,
402,0000000b 00e73c10,"      LDS R22, [R0.X16+0x1530]",0,43,28,Load/Store,32768,32,Shared,Load,32,,,,,,
403,0000000b 00e73c20,"      FADD R44, R35, R31",0,44,3,Floating Point,32768,32,,,,,,,,,
404,0000000b 00e73c30,"      FADD R41, R41, R44",0,43,29,Floating Point,32768,32,,,,,,,,,
405,0000000b 00e73c40,"      FADD R31, R32, R12",0,43,29,Floating Point,32768,32,,,,,,,,,
406,0000000b 00e73c50,"      FADD R32, R12, R33",0,43,1,Floating Point,32768,32,,,,,,,,,
407,0000000b 00e73c60,"      FADD R33, R12, R34",0,43,,Floating Point,32768,32,,,,,,,,,
408,0000000b 00e73c70,"      FADD R34, R12, R35",0,43,1,Floating Point,32768,32,,,,,,,,,
409,0000000b 00e73c80,"      FADD R31, R40, R31",0,41,1,Floating Point,32768,32,,,,,,,,,
410,0000000b 00e73c90,"      FADD R29, R29, R32",0,40,2,Floating Point,32768,32,,,,,,,,,
411,0000000b 00e73ca0,"      FADD R44, R17, R13",0,40,45,Floating Point,32768,32,,,,,,,,,
412,0000000b 00e73cb0,"      FADD R12, R13, R18",0,41,2,Floating Point,32768,32,,,,,,,,,
413,0000000b 00e73cc0,"      FADD R28, R28, R33",0,41,,Floating Point,32768,32,,,,,,,,,
414,0000000b 00e73cd0,"      FADD R44, R31, R44",0,40,9,Floating Point,32768,32,,,,,,,,,
415,0000000b 00e73ce0,"      FADD R43, R29, R12",0,40,1,Floating Point,32768,32,,,,,,,,,
416,0000000b 00e73cf0,"      FADD R29, R18, R10",0,39,1,Floating Point,32768,32,,,,,,,,,
417,0000000b 00e73d00,"      FADD R31, R19, R10",0,40,2,Floating Point,32768,32,,,,,,,,,
418,0000000b 00e73d10,"      FADD R35, R13, R19",0,41,1,Floating Point,32768,32,,,,,,,,,
419,0000000b 00e73d20,"      FADD R34, R23, R34",0,41,3,Floating Point,32768,32,,,,,,,,,
420,0000000b 00e73d30,"      FADD R12, R17, R10",0,41,3,Floating Point,32768,32,,,,,,,,,
421,0000000b 00e73d40,"      FADD R13, R22, R13",0,41,6,Floating Point,32768,32,,,,,,,,,
422,0000000b 00e73d50,"      FADD R35, R28, R35",0,41,6,Floating Point,32768,32,,,,,,,,,
423,0000000b 00e73d60,"      FADD R40, R30, R29",0,41,2,Floating Point,32768,32,,,,,,,,,
424,0000000b 00e73d70,"      FADD R42, R42, R31",0,39,2,Floating Point,32768,32,,,,,,,,,
425,0000000b 00e73d80,"      FADD R23, R45, R12",0,39,6,Floating Point,32768,32,,,,,,,,,
426,0000000b 00e73d90,"      FADD R34, R34, R13",0,37,1,Floating Point,32768,32,,,,,,,,,
427,0000000b 00e73da0,"      LDS.128 R28, [R37+0x1b0]",0,40,1,Load/Store,32768,32,Shared,Load,128,,,,,,
428,0000000b 00e73db0,"      FADD R12, R17, R7",0,41,,Floating Point,32768,32,,,,,,,,,
429,0000000b 00e73dc0,"      FADD R13, R22, R10",0,42,,Floating Point,32768,32,,,,,,,,,
430,0000000b 00e73dd0,"      FADD R33, R9, R12",0,42,37,Floating Point,32768,32,,,,,,,,,
431,0000000b 00e73de0,"      FADD R16, R8, R13",0,41,,Floating Point,32768,32,,,,,,,,,
432,0000000b 00e73df0,"      LDS.64 R8, [R0.X16+0x15a8]",0,41,14,Load/Store,32768,32,Shared,Load,64,,,,,,
433,0000000b 00e73e00,"      FADD R13, R19, R7",0,42,1,Floating Point,32768,32,,,,,,,,,
434,0000000b 00e73e10,"      FADD R26, R26, R13",0,42,37,Floating Point,32768,32,,,,,,,,,
435,0000000b 00e73e20,"      LDS.64 R12, [R0.X16+0x15b0]",0,43,16,Load/Store,32768,32,Shared,Load,64,,,,,,
436,0000000b 00e73e30,"      FADD R10, R18, R7",0,44,,Floating Point,32768,32,,,,,,,,,
437,0000000b 00e73e40,"      FADD R21, R21, R10",0,44,36,Floating Point,32768,32,,,,,,,,,
438,0000000b 00e73e50,"      FADD R10, R22, R7",0,44,4,Floating Point,32768,32,,,,,,,,,
439,0000000b 00e73e60,"      FADD R27, R27, R10",0,43,22,Floating Point,32768,32,,,,,,,,,
440,0000000b 00e73e70,"      FADD R17, R17, R28",0,42,4,Floating Point,32768,32,,,,,,,,,
441,0000000b 00e73e80,"      FADD R7, R28, R18",0,43,1,Floating Point,32768,32,,,,,,,,,
442,0000000b 00e73e90,"      FADD R32, R28, R19",0,43,2,Floating Point,32768,32,,,,,,,,,
443,0000000b 00e73ea0,"      FADD R4, R4, R17",0,42,6,Floating Point,32768,32,,,,,,,,,
444,0000000b 00e73eb0,"      FADD R17, R6, R7",0,42,3,Floating Point,32768,32,,,,,,,,,
445,0000000b 00e73ec0,"      FADD R7, R8, R14",0,41,18,Floating Point,32768,32,,,,,,,,,
446,0000000b 00e73ed0,"      FADD R22, R22, R28",0,41,1,Floating Point,32768,32,,,,,,,,,
447,0000000b 00e73ee0,"      FADD R32, R5, R32",0,40,1,Floating Point,32768,32,,,,,,,,,
448,0000000b 00e73ef0,"      FADD R5, R9, R11",0,40,2,Floating Point,32768,32,,,,,,,,,
449,0000000b 00e73f00,"      FADD R10, R44, R7",0,41,5,Floating Point,32768,32,,,,,,,,,
450,0000000b 00e73f10,"      FADD R7, R8, R29",0,40,4,Floating Point,32768,32,,,,,,,,,
451,0000000b 00e73f20,"      FADD R41, R41, R22",0,40,6,Floating Point,32768,32,,,,,,,,,
452,0000000b 00e73f30,"      FADD R22, R40, R5",0,40,3,Floating Point,32768,32,,,,,,,,,
453,0000000b 00e73f40,"      FADD R6, R8, R11",0,39,,Floating Point,32768,32,,,,,,,,,
454,0000000b 00e73f50,"      FADD R40, R4, R7",0,40,2,Floating Point,32768,32,,,,,,,,,
455,0000000b 00e73f60,"      FADD R4, R12, R14",0,39,23,Floating Point,32768,32,,,,,,,,,
456,0000000b 00e73f70,"      FADD R5, R14, R13",0,40,2,Floating Point,32768,32,,,,,,,,,
457,0000000b 00e73f80,"      FADD R7, R12, R11",0,41,3,Floating Point,32768,32,,,,,,,,,
458,0000000b 00e73f90,"      FADD R11, R13, R11",0,41,2,Floating Point,32768,32,,,,,,,,,
459,0000000b 00e73fa0,"      FADD R28, R14, R9",0,42,,Floating Point,32768,32,,,,,,,,,
460,0000000b 00e73fb0,"      FADD R23, R23, R6",0,41,4,Floating Point,32768,32,,,,,,,,,
461,0000000b 00e73fc0,"      FADD R35, R35, R4",0,40,3,Floating Point,32768,32,,,,,,,,,
462,0000000b 00e73fd0,"      FADD R34, R34, R5",0,39,1,Floating Point,32768,32,,,,,,,,,
463,0000000b 00e73fe0,"      FADD R42, R42, R7",0,38,,Floating Point,32768,32,,,,,,,,,
464,0000000b 00e73ff0,"      FADD R14, R16, R11",0,38,3,Floating Point,32768,32,,,,,,,,,
465,0000000b 00e74000,"      LDS.128 R4, [R37+0x130]",0,40,7,Load/Store,32768,32,Shared,Load,128,,,,,,
466,0000000b 00e74010,"      FADD R16, R9, R29",0,41,2,Floating Point,32768,32,,,,,,,,,
467,0000000b 00e74020,"      FADD R19, R12, R29",0,42,2,Floating Point,32768,32,,,,,,,,,
468,0000000b 00e74030,"      FADD R11, R17, R16",0,43,33,Floating Point,32768,32,,,,,,,,,
469,0000000b 00e74040,"      FADD R32, R32, R19",0,41,,Floating Point,32768,32,,,,,,,,,
470,0000000b 00e74050,"      LDS.128 R16, [R0.X16+0x1630]",0,44,13,Load/Store,32768,32,Shared,Load,128,,,,,,
471,0000000b 00e74060,"      FADD R28, R43, R28",0,43,2,Floating Point,32768,32,,,,,,,,,
472,0000000b 00e74070,"      LDS R43, [R0.X16+0x162c]",0,43,25,Load/Store,32768,32,Shared,Load,32,,,,,,
473,0000000b 00e74080,"      FADD R44, R13, R29",0,44,,Floating Point,32768,32,,,,,,,,,
474,0000000b 00e74090,"      FADD R41, R41, R44",0,43,21,Floating Point,32768,32,,,,,,,,,
475,0000000b 00e740a0,"      FADD R44, R4, R9",0,43,21,Floating Point,32768,32,,,,,,,,,
476,0000000b 00e740b0,"      FADD R8, R8, R4",0,42,3,Floating Point,32768,32,,,,,,,,,
477,0000000b 00e740c0,"      FADD R9, R12, R4",0,43,3,Floating Point,32768,32,,,,,,,,,
478,0000000b 00e740d0,"      FADD R12, R4, R13",0,43,,Floating Point,32768,32,,,,,,,,,
479,0000000b 00e740e0,"      FADD R4, R33, R8",0,42,7,Floating Point,32768,32,,,,,,,,,
480,0000000b 00e740f0,"      FADD R13, R26, R9",0,41,2,Floating Point,32768,32,,,,,,,,,
481,0000000b 00e74100,"      FADD R9, R16, R15",0,40,51,Floating Point,32768,32,,,,,,,,,
482,0000000b 00e74110,"      FADD R8, R15, R17",0,41,3,Floating Point,32768,32,,,,,,,,,
483,0000000b 00e74120,"      FADD R19, R15, R18",0,42,2,Floating Point,32768,32,,,,,,,,,
484,0000000b 00e74130,"      FADD R21, R21, R44",0,42,2,Floating Point,32768,32,,,,,,,,,
