#,Address,Source,Scoreboard Dependencies,Live Registers,Warp Stall Sampling (All Samples),Instruction Category,Instructions Executed,Avg. Predicated-On Threads Executed,Address Space,Access Operation,Access Size,L1 Wavefronts Shared Excessive,L2 Theoretical Sectors Global Excessive,Register Dependencies,Predicate Dependencies,Uniform Register Dependencies,Uniform Predicate Dependencies
,,matrixMulRegister
51,0000000b 00e72620,"      ISETP.GE.OR P6, PT, R4, c[0x0][0x178], P2",0,37,42,Integer,32768,32,,,,,,,,,
52,0000000b 00e72630,"@!P6  IADD3 R10, R16, R17, RZ",0,36,75,Integer,32768,32,,,,,,,,,
53,0000000b 00e72640,"@!P6  IMAD.WIDE R10, R10, R13, c[0x0][0x160]",0,36,65,Integer,32768,32,,,,,,,,,
54,0000000b 00e72650,"@!P6  LDG.E R11, [R10.64]",0,36,53,Load/Store,32768,32,Global,Load,32,,,,,,
55,0000000b 00e72660,"      LEA R12, R0, R37, 0x2",0,36,3,Integer,32768,32,,,,,,,,,
56,0000000b 00e72670,"      IADD3 R4, R38, 0x1, RZ",0,37,17,Integer,32768,32,,,,,,,,,
57,0000000b 00e72680,"      ISETP.GE.OR P5, PT, R38, c[0x0][0x178], P2",0,37,14,Integer,32768,32,,,,,,,,,
58,0000000b 00e72690,"@!P5  IMAD R6, R38, c[0x0][0x180], R17",0,37,68,Integer,32768,32,,,,,,,,,
59,0000000b 00e726a0,"@!P5  IMAD.WIDE R6, R6, R13, c[0x0][0x160]",0,37,42,Integer,32768,32,,,,,,,,,
60,0000000b 00e726b0,"@!P5  LDG.E R7, [R6.64]",0,37,55,Load/Store,32768,32,Global,Load,32,,,,,,
61,0000000b 00e726c0,"@!P6  STS [R12+0x108], R11",0,37,389,Load/Store,32768,32,Shared,Store,32,32768,,,,,
62,0000000b 00e726d0,"      ISETP.GE.OR P6, PT, R4, c[0x0][0x178], P2",0,36,5,Integer,32768,32,,,,,,,,,
63,0000000b 00e726e0,"@!P6  IADD3 R4, R36, R17, RZ",0,36,66,Integer,32768,32,,,,,,,,,
64,0000000b 00e726f0,"@!P6  IMAD.WIDE R4, R4, R13, c[0x0][0x160]",0,36,42,Integer,32768,32,,,,,,,,,
65,0000000b 00e72700,"@!P6  LDG.E R15, [R4.64]",0,36,68,Load/Store,32768,32,Global,Load,32,,,,,,
66,0000000b 00e72710,"      IADD3 R10, R38, 0x3, RZ",0,37,3,Integer,32768,32,,,,,,,,,
67,0000000b 00e72720,"      MOV R19, UR4",0,38,13,Movement,32768,32,,,,,,,,,
68,0000000b 00e72730,"      ISETP.GE.OR P2, PT, R10, c[0x0][0x178], P2",0,38,13,Integer,32768,32,,,,,,,,,
69,0000000b 00e72740,"      LEA R14, R19, R2, 0x5",0,38,10,Integer,32768,32,,,,,,,,,
70,0000000b 00e72750,"@!P5  STS [R12], R7",0,37,25,Load/Store,32768,32,Shared,Store,32,32768,,,,,
71,0000000b 00e72760,"      IADD3 R10, R16, c[0x0][0x180], RZ",0,37,3,Integer,32768,32,,,,,,,,,
72,0000000b 00e72770,"      ISETP.GE.AND P5, PT, R14, c[0x0][0x180], PT",0,36,8,Integer,32768,32,,,,,,,,,
73,0000000b 00e72780,"      IMAD R14, R14, c[0x0][0x17c], R39",0,36,1,Integer,32768,32,,,,,,,,,
74,0000000b 00e72790,"@!P2  IADD3 R10, R10, R17, RZ",0,36,52,Integer,32768,32,,,,,,,,,
75,0000000b 00e727a0,"@!P2  IMAD.WIDE R4, R10, R13, c[0x0][0x160]",0,35,51,Integer,32768,32,,,,,,,,,
76,0000000b 00e727b0,"      IMAD.WIDE R10, R14, R13, c[0x0][0x168]",0,36,55,Integer,32768,32,,,,,,,,,
77,0000000b 00e727c0,"@!P2  LDG.E R5, [R4.64]",0,34,21,Load/Store,32768,32,Global,Load,32,,,,,,
78,0000000b 00e727d0,"@!P6  STS [R12+0x84], R15",0,33,36,Load/Store,32768,32,Shared,Store,32,32768,,,,,
79,0000000b 00e727e0,"      ISETP.GE.OR P6, PT, R39, c[0x0][0x17c], P5",0,32,1,Integer,32768,32,,,,,,,,,
80,0000000b 00e727f0,"@!P6  LDG.E R6, [R10.64]",0,32,53,Load/Store,32768,32,Global,Load,32,,,,,,
81,0000000b 00e72800,"      IADD3 R13, R39, 0x1, RZ",0,33,3,Integer,32768,32,,,,,,,,,
82,0000000b 00e72810,"      IADD3 R7, R39, 0x2, RZ",0,34,8,Integer,32768,32,,,,,,,,,
83,0000000b 00e72820,"      IADD3 R14, R39, 0x3, RZ",0,35,14,Integer,32768,32,,,,,,,,,
84,0000000b 00e72830,"@!P2  STS [R12+0x18c], R5",0,35,297,Load/Store,32768,32,Shared,Store,32,32768,,,,,
85,0000000b 00e72840,"      ISETP.GE.OR P2, PT, R13, c[0x0][0x17c], P5",0,33,3,Integer,32768,32,,,,,,,,,
86,0000000b 00e72850,"@!P2  LDG.E R24, [R10.64+0x4]",0,32,73,Load/Store,32768,32,Global,Load,32,,131072,,,,
87,0000000b 00e72860,"@!P6  STS [R3], R6",0,32,289,Load/Store,32768,32,Shared,Store,32,,,,,,
88,0000000b 00e72870,"      ISETP.GE.OR P6, PT, R7, c[0x0][0x17c], P5",0,31,,Integer,32768,32,,,,,,,,,
89,0000000b 00e72880,"      ISETP.GE.OR P5, PT, R14, c[0x0][0x17c], P5",0,30,8,Integer,32768,32,,,,,,,,,
90,0000000b 00e72890,"@!P6  LDG.E R26, [R10.64+0x8]",0,29,50,Load/Store,32768,32,Global,Load,32,,131072,,,,
91,0000000b 00e728a0,"@!P5  LDG.E R46, [R10.64+0xc]",0,29,24,Load/Store,32768,32,Global,Load,32,,131072,,,,
92,0000000b 00e728b0,"@!P2  STS [R3+0x4], R24",0,27,270,Load/Store,32768,32,Shared,Store,32,,,,,,
93,0000000b 00e728c0,"@!P6  STS [R3+0x8], R26",0,26,80,Load/Store,32768,32,Shared,Store,32,,,,,,
94,0000000b 00e728d0,"@!P5  STS [R3+0xc], R46",0,25,30,Load/Store,32768,32,Shared,Store,32,,,,,,
95,0000000b 00e728e0,      BAR.SYNC.DEFER_BLOCKING 0x0,0,24,27,Miscellaneous,32768,32,,,,,,,,,
96,0000000b 00e728f0,"      LDS.128 R16, [R0.X16+0x1080]",0,28,384,Load/Store,32768,32,Shared,Load,128,,,,,,
97,0000000b 00e72900,"      LDS.128 R12, [R37]",0,32,28,Load/Store,32768,32,Shared,Load,128,,,,,,
98,0000000b 00e72910,"      LDS.128 R4, [R37+0x80]",0,36,20,Load/Store,32768,32,Shared,Load,128,,,,,,
99,0000000b 00e72920,"      LDS.128 R20, [R37+0x100]",0,39,32,Load/Store,32768,32,Shared,Load,128,,,,,,
